B748,Boeing 747-8F,https://en.wikipedia.org//wiki/Boeing_747-8
B74R,Boeing 747SR,https://en.wikipedia.org//wiki/Boeing_747
B74R,Boeing 747SR Freighter,https://en.wikipedia.org//wiki/Boeing_747
B74S,Boeing 747SP,https://en.wikipedia.org//wiki/Boeing_747SP
B752,Boeing 757-200,https://en.wikipedia.org//wiki/Boeing_757
B752,Boeing 757F,https://en.wikipedia.org//wiki/Boeing_757
B753,Boeing 757-300,https://en.wikipedia.org//wiki/Boeing_757
B762,Boeing 767-200 / Boeing 767-200ER,https://en.wikipedia.org//wiki/Boeing_767
B762,Boeing 767-200 Freighter / Boeing 767-200ER,https://en.wikipedia.org//wiki/Boeing_767
B763,Boeing 767-300,https://en.wikipedia.org//wiki/Boeing_767
B763,Boeing 767-300 Winglets / Boeing 767-300ER,https://en.wikipedia.org//wiki/Boeing_767
B763,Boeing 767-300 Freighter,https://en.wikipedia.org//wiki/Boeing_767
B764,Boeing 767-400ER,https://en.wikipedia.org//wiki/Boeing_767
B772,Boeing 777-200 / Boeing 777-200ER,https://en.wikipedia.org//wiki/Boeing_777
B773,Boeing 777-300,https://en.wikipedia.org//wiki/Boeing_777
B778,Boeing 777-8,https://en.wikipedia.org//wiki/Boeing_777X#777-8
B779,Boeing 777-9,https://en.wikipedia.org//wiki/Boeing_777X#777-9
B77L,Boeing 777-200 Freighter,https://en.wikipedia.org//wiki/Boeing_777#777_Freighter
B77L,Boeing 777-200LR,https://en.wikipedia.org//wiki/Boeing_777#777-200LR
B77W,Boeing 777-300ER,https://en.wikipedia.org//wiki/Boeing_777#777-300ER
B788,Boeing 787-8,https://en.wikipedia.org//wiki/Boeing_787_Dreamliner#787-8
B789,Boeing 787-9,https://en.wikipedia.org//wiki/Boeing_787_Dreamliner#787-9
B78X,Boeing 787-10,https://en.wikipedia.org//wiki/Boeing_787_Dreamliner#787-10
BA11,British Aerospace (BAC) One Eleven,https://en.wikipedia.org//wiki/BAC_One-Eleven
BCS1,Airbus A220-100,https://en.wikipedia.org//wiki/Airbus_A220
BCS3,Airbus A220-300,https://en.wikipedia.org//wiki/Airbus_A220
BE40,Hawker 400,https://en.wikipedia.org//wiki/Hawker_400
BE55,Beechcraft 55 Baron,https://en.wikipedia.org//wiki/Beechcraft_Baron
BE58,Beechcraft 58 Baron,https://en.wikipedia.org//wiki/Beechcraft_Baron
BE76,Beechcraft Model 76 Duchess,https://en.wikipedia.org//wiki/Beechcraft_Model_76_Duchess
BE99,Beechcraft Model 99,https://en.wikipedia.org//wiki/Beechcraft_Model_99
BELF,Shorts SC-5 Belfast,https://en.wikipedia.org//wiki/Short_Belfast
BER2,Beriev Be-200 Altair,https://en.wikipedia.org//wiki/Beriev_Be-200
BLCF,Boeing 747 LCF Dreamlifter,https://en.wikipedia.org//wiki/Boeing_Dreamlifter
BN2P,Pilatus Britten-Norman BN-2A/B Islander,https://en.wikipedia.org//wiki/Britten-Norman_Islander
C130,Lockheed L-182 / 282 / 382 (L-100) Hercules,https://en.wikipedia.org//wiki/Lockheed_L-100_Hercules
C208,Cessna 208 Caravan,https://en.wikipedia.org//wiki/Cessna_208_Caravan
C212,CASA / IPTN 212 Aviocar,https://en.wikipedia.org//wiki/CASA_C-212_Aviocar
C25A,Cessna Citation CJ2,https://en.wikipedia.org//wiki/Cessna_CitationJet
C25B,Cessna Citation CJ3,https://en.wikipedia.org//wiki/Cessna_CitationJet
C25C,Cessna Citation CJ4,https://en.wikipedia.org//wiki/Cessna_CitationJet
C30J,Lockheed Martin C-130J Hercules,https://en.wikipedia.org//wiki/Lockheed_Martin_C-130J_Hercules
C310,Cessna 310,https://en.wikipedia.org//wiki/Cessna_310
C46,Curtiss C-46 Commando,https://en.wikipedia.org//wiki/Curtiss-Wright_C-46_Commando
C5M,Lockheed C-5M Super Galaxy,https://en.wikipedia.org//wiki/Lockheed_C-5_Galaxy
C500,Cessna Citation I,https://en.wikipedia.org//wiki/Cessna_Citation_I
C510,Cessna Citation Mustang,https://en.wikipedia.org//wiki/Cessna_Citation_Mustang
C525,Cessna CitationJet,https://en.wikipedia.org//wiki/Cessna_CitationJet
C550,Cessna Citation II,https://en.wikipedia.org//wiki/Cessna_Citation_II
C560,Cessna Citation V,https://en.wikipedia.org//wiki/Cessna_Citation_V
C56X,Cessna Citation Excel,https://en.wikipedia.org//wiki/Cessna_Citation_Excel
C650,"Cessna Citation III, VI, VII",https://en.wikipedia.org//wiki/Cessna_Citation_III
C680,Cessna Citation Sovereign,https://en.wikipedia.org//wiki/Cessna_Citation_Sovereign
C700,Cessna Citation Longitude,https://en.wikipedia.org//wiki/Cessna_Citation_Longitude
C750,Cessna Citation X,https://en.wikipedia.org//wiki/Cessna_Citation_X
C919,COMAC C919,https://en.wikipedia.org//wiki/COMAC_C919
CL2T,Bombardier 415,https://en.wikipedia.org//wiki/Bombardier_415
CL30,Bombardier BD-100 Challenger 300,https://en.wikipedia.org//wiki/Bombardier_Challenger_300
CL60,Canadair Challenger 600,https://en.wikipedia.org//wiki/Bombardier_Challenger_600_series
CN35,CASA/IPTN CN-235,https://en.wikipedia.org//wiki/CASA/IPTN_CN-235
CONI,Lockheed L-1049 Super Constellation,https://en.wikipedia.org//wiki/Lockheed_L-1049_Super_Constellation
CRJ1,Canadair Regional Jet 100,https://en.wikipedia.org//wiki/Bombardier_CRJ200
CRJ2,Canadair Regional Jet 200,https://en.wikipedia.org//wiki/Bombardier_CRJ200
CRJ7,Canadair Regional Jet 700 | Regional Jet 550,https://en.wikipedia.org//wiki/Bombardier_CRJ700_series
CRJ9,Canadair Regional Jet 900,https://en.wikipedia.org//wiki/Bombardier_CRJ700_series#CRJ705
CRJX,Canadair Regional Jet 1000,https://en.wikipedia.org//wiki/Bombardier_CRJ700_series#CRJ1000
CVLP,Convair CV-240 & -440,https://en.wikipedia.org//wiki/Convair_CV-240_family
CVLT,"Convair CV-580, Convair CV-600, Convair CV-640",https://en.wikipedia.org//wiki/Convair_CV-240_family
D228,Dornier 228,https://en.wikipedia.org//wiki/Dornier_228
D328,Fairchild Dornier Do.328,https://en.wikipedia.org//wiki/Dornier_328
DA42,Diamond DA42,https://en.wikipedia.org//wiki/Diamond_DA42
DA62,Diamond DA62,https://en.wikipedia.org//wiki/Diamond_DA62
DC10,Douglas DC-10-10 / -15 Passenger,https://en.wikipedia.org//wiki/Douglas_DC-10
DC10,Douglas DC-10-30 / -40 Passenger,https://en.wikipedia.org//wiki/Douglas_DC-10
DC10,Douglas DC-10-30 Combi,https://en.wikipedia.org//wiki/Douglas_DC-10
DC10,Douglas DC-10-10 Freighter,https://en.wikipedia.org//wiki/Douglas_DC-10
DC10,Douglas DC-10-30 / -40 Freighter,https://en.wikipedia.org//wiki/Douglas_DC-10
DC3,Douglas DC-3,https://en.wikipedia.org//wiki/Douglas_DC-3
DC6,Douglas DC-6,https://en.wikipedia.org//wiki/Douglas_DC-6
DC85,Douglas DC-8-50,https://en.wikipedia.org//wiki/Douglas_DC-8
DC86,Douglas DC-8-62,https://en.wikipedia.org//wiki/Douglas_DC-8
DC87,Douglas DC-8-72,https://en.wikipedia.org//wiki/Douglas_DC-8
DC91,Douglas DC-9-10,https://en.wikipedia.org//wiki/Douglas_DC-9
DC92,Douglas DC-9-20,https://en.wikipedia.org//wiki/Douglas_DC-9
DC93,Douglas DC-9-30,https://en.wikipedia.org//wiki/Douglas_DC-9
